symbol,securityName,sector
BGWT,Bhagawati Hydropower Development Company Limited,Hydro Power
TVCL,Trishuli Jal Vidhyut Company Limited ,Hydro Power
PMLI,Prabhu Mahalaxmi Life Insurance Limited,Life Insurance
ULHC,Upper Lohore Khola Hydropower Company Limited,Hydro Power
CHDC,CEDB Holdings Limited,Investment
GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,Finance
RFPL,River Falls Power Limited,Hydro Power
HIDCL,Hydorelectricity Investment and Development Company Ltd,Investment
EBL,Everest Bank Limited,Commercial Banks
HATHY,Hathway Investment Nepal Limited,Investment
NIBLSTF,NIBL Stable Fund,Mutual Fund
SJLIC,SuryaJyoti Life Insurance Company Limited,Life Insurance
SPDL,Synergy Power Development Ltd.,Hydro Power
UMRH,United IDI Mardi RB Hydropower Limited.,Hydro Power
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,Microfinance
EDBL,Excel Development Bank Ltd.,Development Banks
BARUN,Barun Hydropower Co. Ltd.,Hydro Power
SINDU,Sindhu Bikash Bank Ltd,Development Banks
HDHPC,Himal Dolakha Hydropower Company Limited,Hydro Power
JOSHI,Joshi Hydropower Development Company Ltd,Hydro Power
SICL,Shikhar Insurance Co. Ltd.,Non Life Insurance
HPPL,Himalayan Power Partner Ltd.,Hydro Power
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,Microfinance
MEL,Modi Energy Limited,Hydro Power
SFCL,Samriddhi Finance Company Limited,Finance
NFS,Nepal Finance Ltd.,Finance
UMHL,United Modi Hydropower Ltd.,Hydro Power
NABIL,Nabil Bank Limited,Commercial Banks
GHL,Ghalemdi Hydro Limited,Hydro Power
CORBL,Corporate Development Bank Limited,Development Banks
UPPER,Upper Tamakoshi Hydropower Ltd,Hydro Power
SRLI,Sanima Reliance Life Insurance Limited,Life Insurance
NABBC,Narayani Development Bank Limited,Development Banks
SCB,Standard Chartered Bank Limited,Commercial Banks
MPFL,Multipurpose Finance Company  Limited,Finance
MFIL,Manjushree Finance Ltd.,Finance
RADHI,Radhi Bidyut Company Ltd,Hydro Power
CKHL,Chirkhwa Hydropower Limited ,Hydro Power
SMJC,Sagarmatha Jalabidhyut Company Limited,Hydro Power
SSHL,Shiva Shree Hydropower Ltd,Hydro Power
AKPL,Arun Kabeli Power Ltd.,Hydro Power
BEDC,Bhugol Energy Development Company Limited,Hydro Power
MHNL,Mountain Hydro Nepal Limited,Hydro Power
MDB,Miteri Development Bank Limited,Development Banks
MKCL,Muktinath Krishi Company Limited,Others
GBIME,Global IME Bank Limited,Commercial Banks
MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,Microfinance
PPCL,Panchthar Power Compant Limited,Hydro Power
ALICL,Asian Life Insurance Co. Limited,Life Insurance
NYADI,Nyadi Hydropower Limited,Hydro Power
NICLBSL,NIC ASIA Laghubitta Bittiya Sanstha Limited,Microfinance
SMHL,Super Madi Hydropower Limited,Hydro Power
GUFL,Gurkhas Finance Ltd.,Finance
UPCL,UNIVERSAL POWER COMPANY LTD,Hydro Power
NTC,Nepal Doorsanchar Company Limited,Others
LICN,Life Insurance Corporation (Nepal) Limited,Life Insurance
NWCL,Nepal Warehousing Company Limited ,Others
DHPL,Dibyashwori Hydropower Ltd.,Hydro Power
PHCL,Peoples Hydropower Company Limited,Hydro Power
JBBL,Jyoti Bikas Bank Limited,Development Banks
PROFL,Progressive Finance Limited,Finance
LSL,Laxmi Sunrise Bank Limited,Commercial Banks
BHDC,Bindhyabasini Hydropower Development Company Limited,Hydro Power
HURJA,Himalaya Urja Bikas Company Limited,Hydro Power
CZBIL,Citizens Bank International Limited,Commercial Banks
SPIL,Siddhartha Premier Insurance Limited,Non Life Insurance
API,Api Power Company Ltd.,Hydro Power
KDL,Kalinchowk Darshan Limited,Hotels And Tourism
RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,Hydro Power
KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,Microfinance
UNHPL,Union Hydropower Limited,Hydro Power
MAKAR,Makar Jitumaya Suri Hydropower Limited,Hydro Power
NRM,Nepal Republic Media Limited,Others
GCIL,Ghorahi Cement Industry Limited,Manufacturing And Processing
GRDBL,Green Development Bank Ltd.,Development Banks
BNHC,Buddha Bhumi Nepal Hydropower Company Limited,Hydro Power
RNLI,Reliable Nepal Life Insurance Limited,Life Insurance
SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,Microfinance
MCHL,Menchhiyam Hydropower Limited,Hydro Power
RHGCL,Rapti Hydro And General Construction Limited,Hydro Power
RLFL,Reliance Finance Ltd.,Finance
KBSH,Kutheli Bukhari Small Hydropower Limited,Hydro Power
BHL,Balephi Hydropower Limited,Hydro Power
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,Microfinance
EHPL,Eastern Hydropower Limited,Hydro Power
IGI,IGI Prudential insurance Limited,Non Life Insurance
NHPC,National Hydro Power Company Limited,Hydro Power
JFL,Janaki Finance Company Limited,Finance
SBI,Nepal SBI Bank Limited,Commercial Banks
SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,Hydro Power
BHPL,Barahi Hydropower Public Limited,Hydro Power
GFCL,Goodwill Finance Limited,Finance
USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance
MHCL,Molung Hydropower Company Limited,Hydro Power
PRVU,Prabhu  Bank Limited,Commercial Banks
SHL,Soaltee Hotel Limited,Hotels And Tourism
BBC,Bishal Bazar Company Limited,Tradings
MLBS,Manushi Laghubitta Bittiya Sanstha Limited,Microfinance
NGPL,Ngadi Group Power Ltd.,Hydro Power
RBCL,Rastriya Beema Company Limited,Non Life Insurance
USHEC,Upper Solu Hydro Electric Company Limited,Hydro Power
PMHPL,Panchakanya Mai Hydropower Ltd,Hydro Power
MSHL,Mid Solu Hydropower Limited,Hydro Power
NICL,Nepal Insurance Co. Ltd.,Non Life Insurance
BFC,Best Finance Company Ltd.,Finance
HDL,Himalayan Distillery Limited,Manufacturing And Processing
KDBY,Kumari Dhanabriddhi Yojana,Mutual Fund
SBL,Siddhartha Bank Limited,Commercial Banks
DOLTI,Dolti Power Company Limited,Hydro Power
HHL,Himalayan Hydropower Limited,Hydro Power
CHL,Chhyangdi Hydropower Ltd.,Hydro Power
DORDI,Dordi Khola Jal Bidyut Company Limited,Hydro Power
PCBL,Prime Commercial Bank Ltd.,Commercial Banks
GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance
USHL,Upper Syange Hydropower Limited,Hydro Power
KBL,Kumari Bank Limited,Commercial Banks
UAIL,United Ajod Insurance Limited,Non Life Insurance
SAPDBL,Saptakoshi Development Bank Ltd,Development Banks
NRN,NRN Infrastructure and Development Limited,Investment
NIFRA,Nepal Infrastructure Bank Limited,Investment
SMH,Super Mai Hydropower Limited,Hydro Power
CFCL,Central Finance Co. Ltd.,Finance
MEHL,Manakamana Engineering Hydropower Limited,Hydro Power
SALICO,Sagarmatha Lumbini Insurance Co. Limited,Non Life Insurance
KSBBL,Kamana Sewa Bikas Bank Limited,Development Banks
KKHC,Khanikhola Hydropower Co. Ltd.,Hydro Power
NLIC,Nepal Life Insurance Co. Ltd.,Life Insurance
SGHC,Swet-Ganga Hydropower & Construction Limited ,Hydro Power
SIKLES,Sikles Hydropower Limited,Hydro Power
SGIC,Sanima GIC Insurance Limited,Non Life Insurance
TSHL,Three Star Hydropower Limited,Hydro Power
GVL,Green Ventures Limited,Hydro Power
NMB,NMB Bank Limited,Commercial Banks
PRIN,Prabhu Insurance Ltd.,Non Life Insurance
SPC,Samling Power Company Limited,Hydro Power
NIMB,Nepal Investment Mega Bank Limited,Commercial Banks
GBBL,Garima Bikas Bank Limited,Development Banks
UHEWA,Upper Hewakhola Hydropower Company Limited,Hydro Power
NLG,NLG Insurance Company Ltd.,Non Life Insurance
MATRI,Matribhumi Lagubitta Bittiya Sanstha Limited,Microfinance
MLBL,Mahalaxmi Bikas Bank Ltd.,Development Banks
CLI,Citizen Life Insurance Company Limited,Life Insurance
NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,Microfinance
AKJCL,Ankhu Khola Jalvidhyut Company Ltd,Hydro Power
ILBS,Infinity Laghubitta Bittiya Sanstha Limited,Microfinance
MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,Hydro Power
HBL,Himalayan Bank Limited,Commercial Banks
SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,Microfinance
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance
NRIC,Nepal Reinsurance Company Limited,Others
CGH,Chandragiri Hills Limited,Hotels And Tourism
UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,Microfinance
SANIMA,Sanima Bank Limited,Commercial Banks
MBL,Machhapuchhre Bank Limited,Commercial Banks
TAMOR,Sanima Middle Tamor Hydropower Limited,Hydro Power
MLBSL,Mahila Lagubitta Bittiya Sanstha Limited ,Microfinance
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Banks
NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance
NBL,Nepal Bank Limited,Commercial Banks
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance
SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,Microfinance
SADBL,Shangrila Development Bank Ltd.,Development Banks
SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance
SONA,Sonapur Minerals And Oil Limited,Manufacturing And Processing
SNLI,Sun Nepal Life Insurance Company Limited,Life Insurance
CITY,City Hotel Limited,Hotels And Tourism
MKHL,Mai Khola Hydropower Limited,Hydro Power
HRL,Himalayan Reinsurance Limited,Others
MANDU,Mandu Hydropower Limited,Hydro Power
GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,Microfinance
TPC,Terhathum Power Company Limited,Hydro Power
SAHAS,Sahas Urja Limited,Hydro Power
NSIF2,NMB Sulav Investment Fund - 2,Mutual Fund
GLH,GreenLife Hydropower Limited,Hydro Power
SIFC,Shree Investment Finance Co. Ltd.,Finance
HLI,Himalayan Life Insurance Limited,Life Insurance
SMB,Support Microfinance Bittiya Sanstha Ltd.,Microfinance
ENL,Emerging Nepal Limited,Investment
CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance
PFL,Pokhara Finance Ltd.,Finance
SHIVM,SHIVAM CEMENTS LTD,Manufacturing And Processing
KPCL,Kalika power Company Ltd,Hydro Power
WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,Microfinance
NHDL,Nepal Hydro Developers Ltd.,Hydro Power
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,Microfinance
SHEL,Singati Hydro Energy Limited,Hydro Power
NICA,NIC Asia Bank Ltd.,Commercial Banks
OHL,Oriental Hotels Limited,Hotels And Tourism
NIL,Neco Insurance Limited,Non Life Insurance
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance
MKJC,Mailung Khola Jal Vidhyut Company Limited,Hydro Power
SHPC,Sanima Mai Hydropower Ltd.,Hydro Power
NESDO,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,Microfinance
VLUCL,Vision Lumbini Urja Company Limited ,Hydro Power
MKHC,Maya Khola Hydropower Company Limited,Hydro Power
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,Microfinance
MHL,Mandakini Hydropower Limited,Hydro Power
SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,Microfinance
SHINE,Shine Resunga Development Bank Ltd.,Development Banks
SARBTM,Sarbottam Cement Limited,Manufacturing And Processing
MNBBL,Muktinath Bikas Bank Ltd.,Development Banks
SPL,Shuvam Power Limited,Hydro Power
ILI,IME Life Insurance Company Limited,Life Insurance
AHPC,Arun Valley Hydropower Development Co. Ltd.,Hydro Power
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,Microfinance
ICFC,ICFC Finance Limited,Finance
CIT,Citizen Investment Trust,Investment
PPL,People's Power Limited,Hydro Power
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,Hydro Power
IHL,Ingwa Hydropower Limited,Hydro Power
JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,Microfinance
LBBL,Lumbini Bikas Bank Ltd.,Development Banks
ADBL,Agricultural Development Bank Limited,Commercial Banks
NICGF,NIC Asia Growth Fund,Mutual Fund
MERO,Mero Microfinance Bittiya Sanstha Ltd.,Microfinance
RURU,Ru Ru Jalbidhyut Pariyojana Limited,Hydro Power
RIDI,Ridi Power Company Limited,Hydro Power
DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance
AHL,Asian Hydropower Limited,Hydro Power
LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,Microfinance
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,Microfinance
FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance
UNL,Unilever Nepal Limited,Manufacturing And Processing
BNT,Bottlers Nepal (Terai) Limited,Manufacturing And Processing
NICSF,NIC Asia Select Fund 30,Mutual Fund
GMLI,Guardian Micro Life Insurance Limited ,Life Insurance
VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,Microfinance
GBBD85,"Garima Debenture, 2085",Non-Convertible Debenture
HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,Investment
HEI,Himalayan Everest Insurance Limited,Non Life Insurance
BPCL,Butwal Power Company Limited,Hydro Power
GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,Microfinance
LEC,Liberty Energy Company Limited,Hydro Power
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance
CHCL,Chilime Hydropower Company Limited,Hydro Power
NLICL,National Life Insurance Co. Ltd.,Life Insurance
MMF1,Mega Mutual Fund -1,Mutual Fund
MEN,Mountain Energy Nepal Limited,Hydro Power
RAWA,Rawa Energy Development Limited,Hydro Power
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microfinance
JBLB,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,Microfinance
RBCLPO,Rastriya Beema Company Limited Promoter Share,Non Life Insurance
GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance
NICAD85/86,10% NIC Asia Debenture 2085/86,Non-Convertible Debenture
SBCF,Sunrise Bluechip Fund,Mutual Fund
STC,Salt Trading Corporation,Tradings
HEIP,Himalayan Everest Insurance Limited Promoter,Non Life Insurance
NMB50,NMB 50,Mutual Fund
NICGF2,NIC ASIA Growth Fund-2,Mutual Fund
CMF2,CITIZENS MUTUAL FUND 2,Mutual Fund
NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,Microfinance
NMFBS,National Laghubitta Bittiya Sanstha Limited,Microfinance
NBF3,Nabil Balanced Fund-3,Mutual Fund
NICAD8283,11% NIC Asia Debenture 082/83,Non-Convertible Debenture
TRH,Taragaon Regency Hotel Limited,Hotels And Tourism
MFLD85,9.5% Manjushree Finance Limited Debenture 2085,Non-Convertible Debenture
SEF,Siddhartha Equity Fund,Mutual Fund
NIBLGF,NIBL Growth Fund,Mutual Fund
MNMF1,Muktinath Mutual Fund 1,Mutual Fund
SPHL,Sayapatri Hydropower Limited,Hydro Power
PSF,Prabhu Select Fund,Mutual Fund
KEF,Kumari Equity Fund,Mutual Fund
SIGS3,Siddhartha Investment Growth Scheme 3,Mutual Fund
NADEP,Nadep Laghubittiya bittya Sanstha Ltd.,Microfinance
H8020,Himalayan 80-20,Mutual Fund
NBF2,NABIL BALANCED FUND-2,Mutual Fund
GIBF1,Global IME Balanced Fund-1,Mutual Fund
NICFC,NIC Asia Flexi CAP Fund,Mutual Fund
RMF2,RBB Mutual Fund 2,Mutual Fund
NIBSF2,NIBL Samriddhi Fund -2,Mutual Fund
GBILD84/85,"Global IME Bank Debenture, 2084/85",Non-Convertible Debenture
SAMAJ,Samaj Laghubittya Bittiya Sanstha Limited,Microfinance
PBD88,10% Prime Debenture 2088,Non-Convertible Debenture
SFMF,Sunrise First Mutual Fund,Mutual Fund
MBLD87,8.5% Machhapuchchhre Debenture 2087,Non-Convertible Debenture
LUK,Laxmi Unnati Kosh,Mutual Fund
NBLD85,Nabil Debenture 2085,Non-Convertible Debenture
NABILD87,9% Nabil Debenture 2087,Non-Convertible Debenture
ICFCD83,12% ICFC Finance Limited Debenture 2083,Non-Convertible Debenture
SBID83,10.25% Nepal SBI Bank Debenture 2083,Non-Convertible Debenture
CMF1,Citizens Mutual Fund -1,Mutual Fund
PRSF,Prabhu Smart Fund,Mutual Fund
SFEF,Sunrise Focused Equity Fund,Mutual Fund
RMF1,RBB Mutual Fund 1,Mutual Fund
JBBD87,Jyoti Bikash Bank Bond 2087,Non-Convertible Debenture
SAGF,Sanima Growth Fund,Mutual Fund
NICBF,NIC Asia Balanced Fund,Mutual Fund
EBLD86,Everest Bank Limited,Non-Convertible Debenture
PROFLP,Progressive Finance Limited Promoter Share,Finance
SLCF,Sanima Large Cap Fund,Mutual Fund
SIGS2,Siddhartha Investment Growth Scheme - 2,Mutual Fund
SBLD2082,10.50% SBL Debenture 2082,Non-Convertible Debenture
NBLD87,8.5% Nepal Bank Debenture 2087,Non-Convertible Debenture
SBD87,8.5% Sanima Debenture 2087,Non-Convertible Debenture
LVF2,Laxmi Value Fund 2,Mutual Fund
BNL,Bottlers Nepal (Balaju) Limited,Manufacturing And Processing
NMBD87/88,NMB Debenture 8.50% - 2087/88,Non-Convertible Debenture
C30MF,Citizens Super 30 Mutual Fund,Mutual Fund
KSY,Kumari Sabal Yojana,Mutual Fund
